ner_model,sim_model,sim_threshold,perfect_match,approximate_match
BiomedNLP-PubMedBERT-base-uncased-abstract_seed2_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,33,46
BiomedNLP-PubMedBERT-base-uncased-abstract_seed2_ak-primary,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,32,45
BiomedNLP-PubMedBERT-base-uncased-abstract_seed2_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,31,44
BiomedNLP-PubMedBERT-base-uncased-abstract_seed2_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,31,40
BiomedNLP-PubMedBERT-base-uncased-abstract_seed2_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,30,42
BioLinkBERT-base-ner-prim-out,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,30,45
BioLinkBERT-base-ner-prim-out,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,29,44
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,29,44
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,29,44
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,28,43
bert-base-uncased_seed8_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,28,43
bert-base-uncased_seed8_ak-primary,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,28,41
BioLinkBERT-base-ner-prim-out,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,28,38
BioLinkBERT-base-ner-prim-out,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,28,44
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,28,38
biobert-base-cased-v1.2_seed0_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,27,41
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,27,41
biobert-base-cased-v1.2_seed0_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,27,42
BiomedNLP-PubMedBERT-base-uncased-abstract_seed2_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,27,36
bert-base-uncased_seed8_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,27,42
BioLinkBERT-base-ner-prim-out,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,26,40
scibert_scivocab_uncased_seed6_ak-primary,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,26,39
bert-base-uncased_seed8_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,26,34
bert-base-uncased_seed8_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,26,40
scibert_scivocab_uncased_seed6_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,26,41
scibert_scivocab_uncased_seed6_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,26,41
biobert-base-cased-v1.2_seed0_ak-primary,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,26,40
scibert_scivocab_uncased_seed6_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,25,34
BioLinkBERT-base-ner-prim-out,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,25,36
biobert-base-cased-v1.2_seed0_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,25,35
scibert_scivocab_uncased_seed6_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,24,38
biobert-base-cased-v1.2_seed0_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,24,33
scibert_scivocab_uncased_seed6_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,24,34
BiomedNLP-PubMedBERT-base-uncased-abstract_seed2_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,24,35
bert-base-uncased_seed8_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,23,33
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,23,34
biobert-base-cased-v1.2_seed0_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,23,37
BioLinkBERT-base-ner-prim-out,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,22,34
bert-base-uncased_seed8_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,22,33
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,21,31
biobert-base-cased-v1.2_seed0_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,21,33
scibert_scivocab_uncased_seed6_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,20,32
